Nazwa;Cena z podatkiem;Kategoria;Ilość;URL zdjecia;Opis
Kiwi sztuka;1.29;Owoce świeże;30;http://localhost/img/p/kiwi-sztuka-vejp99.png;Popularny owoc, który pod brązową skórką pokrytą lekkim meszkiem kryje zielony, soczysty, jadalny miąższ. W smaku słodkie, z wyraźnie wyczuwalnym kwaskowatym aromatem. Można spożywać je na surowo. Doskonale nadaje się do dekoracji potraw i deserów. Dobrze sprawdzi sie również w sałatkach, nie tylko tych owocowych ale i mięsno-warzywnych.
Jabłka Ligol ważone;1.75;Owoce świeże;30;http://localhost/img/p/jablka-ligol-wazone-agc9ii.png;Słodko-kwaśna odmiana Ligol została wyhodowana w Polsce natomiast cieszy się coraz większym uznaniem w Europie. Zbiera się ją w październiku. Owoce są duże lub bardzo duże, baryłkowate, pokryte zieloną skórką z rozmytym, jasnoczerwonym paskowatym rumieńcem. Miąższ Ligola jest ścisły, jędrny, twardy, wyjątkowo smaczny i bardzo ceniony przez młodzież. Owoce są smacznie zarówno zaraz po zbiorze, jak też po nawet kilkumiesięcznym przechowywaniu. Po obraniu nie czernieje, więc doskonale nadaje się do sałatek, a ze względu na swą soczystość jest szczególnie polecane również na soki, kompoty i koktajle.
Brokuł sztuka;5.99;Warzywa świeże;30;http://localhost/img/p/brokuly-sztuka-rapss5.png;Zdrowe i smaczne warzywo należące do rodziny kapustnych o szerokim zastosowaniu kulinarnym. Ceniony ze względu na swoje walory dietetyczne i zdrowotne.
AWOKADO HASS  SZT.;5.99;Owoce świeże;30;http://localhost/img/p/awokado-hass-szt--6vu2cb.png;W naszych sklepach sprzedajemy wyłącznie awokado „ready to eat” – „gotowe do zjedzenia”, które w odróżnieniu od standardowego, poddawane jest procesowi dojrzewania w odpowiednich komorach. Dzięki temu zabiegowi, już w momencie zakupu, nadają się do spożycia. Awokado odmiany Hass jest powszechnie uważane za najlepsze awokado na rynku. Miąższ dojrzałego awokado ma mazistą konsystencję podobną do masła. To właśnie konsystencja awokado pozwala na przygotowanie z niego aromatycznej pasty. Idealnie pasuje także do sałatek lub jako dodatek do kanapek. Oprócz zastosowania w kuchni, nadaje się jako komponent maseczek do twarzy czy włosów.
Pietruszka ważona;1.75;Warzywa świeże;30;http://localhost/img/p/pietruszka-iungsa.png;"Pietruszka to warzywo, które wraz z marchewką, selerem i porem stanowi część włoszczyzny. Ma zapach korzenny, lekko słodkawy i delikatnie cierpki. Wzbogaca smak wywarów, nadając im unikatowy smak i aromat.
Niektórzy obierają go przed ugotowaniem. Nie jest to jednak konieczne. Skórka pietruszki także ma wyjątkowy smak i jest cennym źródłem błonnika pokarmowego.
W korzeniu pietruszki możemy znaleźć  wiele cennych witamin i składników mineralnych (prowitaminę A, witaminę C, witaminy z grupy B, kwas foliowy, żelazo, wapń, magnez, fosfor, sód, mangan, selen i cynk), a do korzystnych właściwości tego warzywa możemy zaliczyć także działanie oczyszczające (usuwanie toksyn), regulacje procesów trawienia,  działanie moczopędne czy łagodzenie bólu menstruacyjnego (dzięki działaniu rozkurczającemu)."
Pomidory malinowe ważone;5.6;Warzywa świeże;30;http://localhost/img/p/pomidory-malinowe-wazone-liqubv.png;Najbardziej ceniona i najchętniej kupowana odmiana pomidora, która charakteryzuje się wyjątkową słodkością i soczystością. Ich produkcja wymaga sporo pracy, ale jest ona nagradzana wysokim plonem dobrej jakości.
Jabłka 'Gala' ważone;1.75;Owoce świeże;30;http://localhost/img/p/jablka-gala-wazone-k897ub.png;Gala to zimowa odmiana deserowa jabłek, która powstała poprzez skrzyżowanie odmian Golden Delicious oraz Kidd's Orange Red. Dostępna zazwyczaj od września do stycznia. Owoce Gala są średniej lub małej wielkości, mają stożkowaty kształt, a ich skórka jest gładka i lekko błyszcząca o żółto-czerwonej barwie. Najbardziej aromatyczne są w I tygodniu po zbiorze (z wyczuwalnym aromatem wanilii). Miąższ natomiast jest kremowy, słodki, soczysty, delikatny, kruchy i chrupiący. Jabłka Gala to typ ogólnoużytkowy – nadają się do wszystkiego. Świetnie smakują na surowo, ale polecany jest także do ciast, przetworów, sałatek czy do suszenia.
Seler ważony;3.24;Warzywa świeże;30;http://localhost/img/p/seler-wazony-16f4gm.png;Seler to podstawowy składników włoszczyzny niezbędny do przygotowania aromatycznych wywarów warzywnych lub warzywno-mięsnych. Oprócz specyficznego smaku posiada także ogromne wartości odżywcze. Seler jest jednym z najstarszych warzyw świata, które dotarło do Polski w XVI wieku za sprawą pochodzącej z Włoch Królowej Bony (stąd też nazywany jest, wraz z kilkoma innymi warzywami, „włoszczyzną”).
KOPEREK PĘCZEK;1.99;Zioła;30;http://localhost/img/p/koperek-peczek-niafq8.png;Koper to roślina, która znalazła szerokie zastawanie w kuchni, a w naszej polskiej tradycji kulinarnej koperek dodaje się zazwyczaj do młodych ziemniaków, mizerii lub do kiszenia ogórków. Koper nadaje charakterystyczny smak i aromat przyrządzanym przez nas potrawom, a także podkręca ich wygląd końcowy. Koperek świetnie komponuje się z sosami sałatkowymi na bazie jogurtu lub śmietany, z daniami rybnymi z pstrąga lub łososia lub stanowi dodatek do zup.
Cytryny 0,5 kg;4.59;Owoce świeże;30;http://localhost/img/p/cytryny-05-kg-fekpm5.png;Cytryny warto jeść cały rok, w dowolnej postaci - można wycisną z nich sok i pić w formie lemoniady na zimno (tylko woda z cytryną i miętą) oraz na ciepło (ciepła woda, cytryna, miód i imbir), a także robić sorbety cytrynowe z niewielkim dodatkiem miodu.
