Nazwa;Cena z podatkiem;Kategoria;Ilość;URL zdjecia;Opis
Pestki dyni w łupinie 100g;4.19;Pestki, ziarna i nasiona;30;http://localhost/img/p/pestki-dyni-w-lupinie-100g-njotig.png;Pestki dyni chronione naturalną łupinką. Produkt bez substancji konserwujących.
Bakalland Mieszanka keksowa 400 g;14.99;Mix i smakowe;30;http://localhost/img/p/bakalland-mieszanka-keksowa-400-g-97m87h.png;" 
        Bakalland
    

        Mix egzotycznych owoców skomponowanych w odpowiednich proporcach, aby nadać słodyczy domowym wypiekom. Różnorodność barw sprawi, że wypiek będzie wyglądał smakowicie.}
    

naturalne źródło błonnika pokarmowego
Dobra i Polska firma


        Mieszanka suszonych owoców
    
"
Helio Natura Pistacje prażone 90 g;13.32;Orzechy, migdały, fistaszki;30;http://localhost/img/p/helio-natura-pistacje-prazone-90-g-qolsrs.png;" 
        Helio
    

        Orzechy pistacjowe są naturalnym, bogatym źródłem błonnika pokarmowego. W 100 g produktu jest 6,1 g błonnika.Produkt ma niską zawartość soli. Ograniczenie spożywania soli pomaga w utrzymaniu prawidłowego ciśnienia krwi.Pistacje prażonebogate źródło błonnikanaturalnie dla Ciebienaturalnie wyjątkowy smakbez solibez dodatków}
    

praktyczne zamkniecie
100 % natury
naturalnie dla zdrowia
bez dodatku soli


        Pistacje prażone w skorupkach.
    
"
KRESTO Truskawka 15 g;11.69;Owoce suszone kandyzowane;30;http://localhost/img/p/truskawka-liofilizowana-kresto-15-g-o3fcq7.png;" 
        KRESTO
    

        Truskawka w plastrach 100 % owoculiofilizowana*.- Chrupiące i pożywne owoce- Wysoka zawartość składników odżywczych dzięki procesowi liofilizacji- Intensywny smak i aromat- Produkt bezglutenowy- Bez dodatku cukru*Liofilizacja jest procesem polegającym na usuwaniu wody z uprzednio zamrożonego produktu żywnościowego. Metoda ta pozwala na długotrwałe przechowywanie żywności bez użycia środków konserwujących. Charakteryzuje się wysokim zachowaniem smaku, aromatu i wartości odżywczych - wyższym niż w przypadku klasycznego suszenia.}
    

produkt bezglutenowy
otwórz i jedz!
użyj jako dodatek do jogurtów, deserów, ciast czy napojów
wysoka zawartość błonnika pokarmowego

"
Papryka ostra zielona ważona;2.86;Warzywa świeże;30;http://localhost/img/p/papryka-ostra-zielona-wazona-v1577s.png;Papryczki ostre to niezbędny składnik pikantnej kuchni, a potrawy nimi przyprawione często znacznie zyskują na smaku i są dużo bardziej wyraziste. Papryczki ostre stosujemy w kuchni meksykańskiej oraz tajskiej, a także jako dodatek do gulaszu, sosów, dań rybnych, potraw warzywnych czy leczo. 
Florpak Pietruszka suszona 100 g;5.23;Owoce, warzywa, zioła;30;http://localhost/img/p/florpak-pietruszka-suszona-100-g-v0q7j8.png;"pietruszka suszona 100%. Produkt może zawierać: PSZENICĘ, KASZĘ JĘCZMIENNĄ, SOJĘ, MIGDAŁY, ORZECHY ZIEMNE I WŁOSKIE.
Oznakowanie alergenów: wielkimi literami"
KRESTO Chipsy jabłkowe ze świeżych jabłek 40 g;6.99;Owoce suszone kandyzowane;30;http://localhost/img/p/chipsy-jablkowe-kresto-40-g-lm8vdu.png;" 
        KRESTO
    

        Chipsy jabłkowe są źródłem potasu i witaminy B6. Potas pomaga w utrzymaniu prawidłowego ciśnienia krwi oraz w prawidłowym funkcjonowaniu układu nerwowego. Witamina B6 pomaga w prawidłowej produkcji czerwonych krwinek oraz w prawidłowym funkcjonowaniu układu odpornościowego}
    

Produkt polski
bez dodatku cukrów*
bez dodatku substancji konserwujących
źródło potasu
źródło witaminy B6
wysoka zawartość błonnika pokarmowego
*zawiera tylko naturalnie występujące cukry


        Suszone chipsy z jabłka.
    
"
Bakalland Śliwki całe owoce 100 g;8.19;Owoce suszone kandyzowane;30;http://localhost/img/p/bakalland-sliwki-cale-owoce-100-g-dv1v5n.png;" 
        Bakalland
    

        Czy wiesz, że...- Największy wkład w promocję śliwek mieli Europejczycy - to właśnie dzięki nim specjalne gatunki nadające się do suszenia dotarły za ocean, skąd pochodzą najsmaczniejsze owoce.- Odpowiednie nasłonecznienie oraz długi i ciepły okres wegetacji panujący u wybrzeży obu Ameryk sprawia, że śliwki zachowują swoją naturalna słodycz i nasyconą, charakterystyczną barwę - nawet po wysuszeniu.- Sposób drylowania śliwki odgrywa bardzo istotną rolę w zachowaniu jakości i soczystości suszonych owoców. W owocach wysokiej jakości pestka usuwana jest wyłącznie poprzez jedno nakłucie, co pozwala zachować cenny miąższ, jędrność śliwki i pełnię wartości odżywczych.}
    

źródło błonnika pokarmowego
Dobra i polska firma


        Śliwki suszone bez pestek.
    
"
Helio Kutia pełna bakalii 850 g;11.19;Pestki, ziarna i nasiona;30;http://localhost/img/p/helio-kutia-pelna-bakalii-850-g-pa4eos.png;" 
        Helio
    

bez konserwantów!
tradycyjna polska receptura
Laur Konsumenta - 2004-2014 - Lider Dekady Konkursu
tradycyjna receptura - Produkt polski


        Kutia pełna bakalii
    
"
Buraczki suszone 100 g;3.32;Owoce, warzywa, zioła;30;http://localhost/img/p/buraczki-suszone-100-g-s67sa3.png;Aromatyczne, drobno pocięte, bordowe wiórki buraków. Produkt polski, bez substancji konserwujących.
BackMit Tarte orzechy laskowe 200 g;18.29;Orzechy, migdały, fistaszki;30;http://localhost/img/p/backmit-tarte-orzechy-laskowe-200-g-uspb42.png;" 
        BackMit
    

        Tylko najwyższej jakości! Bez dodatków! Gotowy do użycia!BackMit Orzechy laskowe tarte produkuje się z surowców najwyższej jakości. Brak sztucznych dodatków odpowiada za bogaty smak i poruszający zmysły aromat. Opakowanie z folii metalizowanej chroni dodatkowo przed światłem, gwarantując dłuższy okres przydatności do spożycia. BackMit Orzechy laskowe tarte oszczędzają czas nowoczesnej gospodyni i pasują wspaniale do każdego indywidualnego przepisu.CechyOrzechy laskowe tarte najwyższej jakości, bez dodatków, świeżo tarte, gotowe do użycia.Orzechy laskowe tarte BackMit - nasz nowy Hit sprzedaży są idealne dla nowoczesnych gospodarstw domowych. Gotowe do użycia zaoszczędzą cenny czas oraz dają możliwość tworzenia najróżniejszych wypieków, bazując na prostych lub bardzo kreatywnych przepisach.}
    
"
BackMit Tarte orzechy laskowe 200 g;18.29;Orzechy, migdały, fistaszki;30;http://localhost/img/p/backmit-tarte-orzechy-laskowe-200-g-uspb42.png;" 
        BackMit
    

        Tylko najwyższej jakości! Bez dodatków! Gotowy do użycia!BackMit Orzechy laskowe tarte produkuje się z surowców najwyższej jakości. Brak sztucznych dodatków odpowiada za bogaty smak i poruszający zmysły aromat. Opakowanie z folii metalizowanej chroni dodatkowo przed światłem, gwarantując dłuższy okres przydatności do spożycia. BackMit Orzechy laskowe tarte oszczędzają czas nowoczesnej gospodyni i pasują wspaniale do każdego indywidualnego przepisu.CechyOrzechy laskowe tarte najwyższej jakości, bez dodatków, świeżo tarte, gotowe do użycia.Orzechy laskowe tarte BackMit - nasz nowy Hit sprzedaży są idealne dla nowoczesnych gospodarstw domowych. Gotowe do użycia zaoszczędzą cenny czas oraz dają możliwość tworzenia najróżniejszych wypieków, bazując na prostych lub bardzo kreatywnych przepisach.}
    
"
Bakalland Śliwki całe owoce 200 g;16.29;Owoce suszone kandyzowane;30;http://localhost/img/p/bakalland-sliwki-cale-owoce-200-g-ttk12a.png;" 
        Bakalland
    

        Czy wiesz, że...- Największy wkład w promocję śliwek mieli Europejczycy - to właśnie dzięki nim specjalne gatunki nadające się do suszenia dotarły za ocean, skąd pochodzą najsmaczniejsze owoce.- Odpowiednie nasłonecznienie oraz długi i ciepły okres wegetacji panujący u wybrzeży obu Ameryk sprawia, że śliwki zachowują swoją naturalną słodycz i nasyconą, charakterystyczną barwę- nawet po wysuszeniu.- Sposób drylowania śliwki odgrywa bardzo istotną rolę w zachowaniu jakości i soczystości suszonych owoców. W owocach wysokiej jakości pestka usuwana jest wyłącznie poprzez jedno nakłucie, co pozwala zachować cenny miąższ, jędrność śliwki i pełnię wartości odżywczych.}
    

źródło błonnika pokarmowego


        Śliwki suszone bez pestek.
    
"
Borowik szlachetny suszony krojony 80 g;29.99;Warzywa suszone;30;http://localhost/img/p/borowik-szlachetny-suszony-krojony-80-g-uct0c5.png;Produkt tradycyjny bez konserwantów. Idealny do zup, sosów, pierogów.
Bakalland Nerkowce lekko solone 70 g;10.99;Orzechy, migdały, fistaszki;30;http://localhost/img/p/bakalland-nerkowce-lekko-solone-prazone-70-g-2modia.png;" 
        Bakalland
    

        Prażone solone orzechy nerkowca to źródło miedzi i manganu. Miedź pomaga w prawidłowym funkcjonowaniu układu odpornościowego i nerwowego, a mangan przyczynia się do utrzymania prawidłowego metabolizmu energetycznego.Korzystne działanie występuje w przypadku spożywania 1 porcji dziennie. Pamiętaj, że zrównoważona dieta i aktywny styl życia są bardzo ważne dla zachowania dobrego samopoczucia i zdrowia.Czy wiesz, że...- Orzechy nerkowca są bliskimi krewnymi mango i pistacji.- Nerkowce skrywają się w mięsistych, czerwonych owocach, tak zwanych jabłkach nanerczowych.- Otwarte orzechy najlepiej przechowywać w lodówce.}
    

prażone w piecu bez dodatku tłuszczu
źródło miedzi i manganu


        Orzechy nerkowca prażone z solą.
    
"
Bory nad Mrogą - Borowik szlachetny, suszony, krojony 40 g;18.49;Warzywa suszone;30;http://localhost/img/p/bory-nad-mroga-borowik-szlachetny-suszony-krojony-40-g-c44guc.png;Produkt tradycyjny bez konserwantów. Idealny do zup, sosów, pierogów.
Chipsy bananowe 400 g;12.99;Owoce suszone kandyzowane;30;http://localhost/img/p/chipsy-bananowe-400-g-m2p2vv.png;- Idealne jako przekąska.
Simpl Śliwki suszone 1 kg;34.99;Owoce suszone kandyzowane;30;http://localhost/img/p/simply-sliwki-suszone-1-kg-5col51.png;" 
        Simpl
    

        Śliwki suszone bez pestek.
    
"
KRESTO Malina 15 g;16.39;Owoce suszone kandyzowane;30;http://localhost/img/p/malina-liofilizowana-kresto-15-g-u5ll0v.png;" 
        KRESTO
    

        Malina 100 % owocu liofilizowana*.- Chrupiące i pożywne owoce- Wysoka zawartość składników odżywczych dzięki procesowi liofilizacji- Intensywny smak i aromat- Produkt bezglutenowy- Bez dodatku cukru*Liofilizacja jest procesem polegającym na usuwaniu wody z uprzednio zamrożonego produktu żywnościowego. Metoda ta pozwala na długotrwałe przechowywanie żywności bez użycia środków konserwujących. Charakteryzuje się wysokim zachowaniem smaku, aromatu i wartości odżywczych - wyższym niż w przypadku klasycznego suszenia.}
    

otwórz i jedz!
użyj jako dodatek do jogurtów, deserów, ciast czy napojów
wysoka zawartość błonnika pokarmowego

"
Florpak Marchew suszona 100 g;4.28;Owoce, warzywa, zioła;30;http://localhost/img/p/florpak-marchew-suszona-100-g-lrifte.png;"Marchew ma szerokie zastosowanie w kuchni, kosmetyce, ma bogaty zakres właściwości zdrowotnych.
Marchew bogata w beta- karoten wzmacnia odporność, wpływa korzystnie na wzrok, poprawia koloryt skóry i wpływa na jej stan.
 Stosuje się ją już u małych dzieci w zaburzeniach trawiennych. Podaje się ją przy niedożywieniu, niedokrwistości, w stanach zapalnych, w zaburzeniach przemiany materii. W kuchni, marchew to jeden z podstawowych składników jeśli chodzi o zupy, można  zastosować ją  tutaj w postaci marchewki suszonej."
Bory nad Mrogą - Podgrzybek brunatny suszony krojony 40 g;17.99;Warzywa suszone;30;http://localhost/img/p/bory-nad-mroga-podgrzybek-brunatny-suszony-krojony-40-g-natm7n.png;Produkt tradycyjny bez konserwantów. Idealny do zup, sosów, pierogów.
Simpl Orzechy włoskie łuskane 1 kg;52.99;Orzechy, migdały, fistaszki;30;http://localhost/img/p/simply-orzechy-wloskie-luskane-1-kg-38jml9.png;" 
        Simpl
    
"
KRESTO Ananas 15 g;11.69;Owoce suszone kandyzowane;30;http://localhost/img/p/ananas-liofilizowany-kresto-15-g-gjlur5.png;" 
        KRESTO
    

        Ananas w kawałkach 100 % owoculiofilizowany*.- Chrupiące i pożywne owoce- Wysoka zawartość składników odżywczych dzięki procesowi liofilizacji- Intensywny smak i aromat- Produkt bezglutenowy- Bez dodatku cukru*Liofilizacja jest procesem polegającym na usuwaniu wody z uprzednio zamrożonego produktu żywnościowego. Metoda ta pozwala na długotrwałe przechowywanie żywności bez użycia środków konserwujących. Charakteryzuje się wysokim zachowaniem smaku, aromatu i wartości odżywczych - wyższym niż w przypadku klasycznego suszenia.}
    

produkt bezglutenowy
otwórz i jedz!
użyj jako dodatek do jogurtów, deserów, ciast czy napojów
wysoka zawartość błonnika pokarmowego

"
Mieszanka chlebowa 1 kg;20.99;Pestki, ziarna i nasiona;30;http://localhost/img/p/mieszanka-chlebowa-1-kg-2088iv.png;Mieszanka chlebowa w zmiennych porcjach: słonecznik łuskany, sezam, siemie lniane, pestki dyni.
KRESTO Select Orzechy włoskie 100 g;10.99;Orzechy, migdały, fistaszki;30;http://localhost/img/p/orzech-wloski-kresto-select-100-g-r6adi7.png;" 
        KRESTO
    

        Orzechy włoskie są źródłem magnezu, który przyczynia się do zmniejszenia uczucia zmęczenia i znużenia oraz pomaga w utrzymaniu zdrowych kości i zębów. Źródło kwasów tłuszczowych omega 3. Kwas alfa-linolenowy (ALA) pomaga w utrzymaniu prawidłowego poziomu cholesterolu we krwi. Korzystne działanie występuje w przypadku spożywania 2 g kwasu alfa-linolenowego dziennie. Pamiętaj, że zrównoważona dieta i aktywny styl życia są bardzo ważne dla zachowania dobrego samopoczucia i zdrowia.}
    

80 % połówek*
źródło kwasów omega-3 oraz magnezu
*Wagowo

"
KRESTO Select Żurawina suszona całe owoce 150 g;14.49;Owoce suszone kandyzowane;30;http://localhost/img/p/zurawina-suszona-kresto-select-150g-d0j1pv.png;" 
        KRESTO
    

bez dodatku cukrów*
źródło błonnika pokarmowego
*bez dodatku cukrów - zawiera naturalnie występujące cukry

"
Helio Popcorn pikantny do mikrofalówki 90 g;2.59;Pestki, ziarna i nasiona;30;http://localhost/img/p/popcorn-do-mikrofali-pikantny-90-g-dg4334.png;" 
        Helio
    

gwarancja pikantności


        Nadające się do recyklingu
    

        Ziarno kukurydzy z dodatkiem soli i przyprawy z papryki do przygotowania popcornu pikantnego w kuchence mikrofalowej.
    
"
Florpak Papryka słodka czerwona, płatek 150 g;9.51;Owoce, warzywa, zioła;30;http://localhost/img/p/florpak-papryka-slodka-czerwona-platek-150-g-hca7a5.png;Papryka jest jedną z podstawowych przypraw używanych w kuchni, dodaje się ją do sosów, zup, gulaszów. Używana jest w kuchni węgierskiej. Nadaje potrawom niepowtarzalnego aromatu.
Simpl Orzechy brazylijskie 1 kg;79.99;Orzechy, migdały, fistaszki;30;http://localhost/img/p/simply-orzechy-brazylijskie-1-kg-ipq3qk.png;" 
        Simpl
    
"
Simpl Pestki dyni bez łupiny 1 kg;34.99;Pestki, ziarna i nasiona;30;http://localhost/img/p/simply-pestki-dyni-bez-lupiny-1-kg-jflaq6.png;" 
        Simpl
    
"
Carrefour Targ Świeżości Ziemniaki czerwone 1,5 kg;5.7;Warzywa świeże;30;http://localhost/img/p/carrefour-targ-swiezosci-ziemniaki-czerwone-15-kg-2h2qu6.png;" 
        Carrefour
    

        odmiana: Monte Carlokaliber: 40-60 mm}
    

z upraw o ograniczonym użyciu środków ochrony roślin
Produkt polski
uprawy przyjazne pszczołom
jakość kontrolowana

"
Podgrzybek brunatny suszony kapelusz 50 g;24.99;Warzywa suszone;30;http://localhost/img/p/podgrzybek-brunatny-suszony-kapelusz-50-g-b95ven.png;Produkt tradycyjny bez konserwantów. Idealny do zup, sosów, pierogów.
Mak 400 g;12.39;Pestki, ziarna i nasiona;30;http://localhost/img/p/mak-400-g-meqpct.png;-Wysoka zawartość błonnika pokarmowego.
Bakalland Migdały 250 g;24.59;Orzechy, migdały, fistaszki;30;http://localhost/img/p/bakalland-migdaly-250-g-8qk9jd.png;" 
        Bakalland
    

        Migdały łuskane są źródłem magnezu i wapnia. Magnez przyczynia się do zmniejszenia uczucia zmęczenia i znużenia, utrzymania prawidłowego metabolizmu energetycznego oraz pomaga w prawidłowym funkcjonowaniu układu nerwowego i mięśni. Wapń jest potrzebny do utrzymania zdrowych kości i zębów.Korzystne działanie występuje w przypadku spożywania 2 porcji dziennie. Pamiętaj, że zrównoważona dieta i aktywny tryb życia są ważne dla zachowania dobrego samopoczucia i zdrowia.Czy wiesz, że...- Mielone migdały to główny składnik marcepanu.- Największymi producentami migdałów są Stany Zjednoczone i Hiszpania.- Migdały należą do rodziny różowatych, tak samo jak morele, brzoskwinie i czereśnie.}
    

50 g gratis
źródło magnezu i wapnia


        Migdały łuskane.
    
"
Simpl Chipsy bananowe 1 kg;29.99;Owoce suszone kandyzowane;30;http://localhost/img/p/simply-chipsy-bananowe-1-kg-faj3l3.png;" 
        Simpl
    
"
Bakalland Migdały blanszowane 100 g;15.29;Orzechy, migdały, fistaszki;30;http://localhost/img/p/bakalland-migdaly-blanszowane-100-g-mtkhs1.png;" 
        Bakalland
    

        Migdały blanszowane są źródłem magnezu. Magnez przyczynia się do zmniejszenia uczucia zmęczenia i znużenia, utrzymania prawidłowego metabolizmu energetycznego oraz pomaga w prawidłowym funkcjonowaniu układu nerwowego i mięśni.Korzystne działanie występuje w przypadku spożywania 1 porcji dziennie. Pamiętaj, że zrównoważona dieta i aktywny tryb życia są ważne dla zachowania dobrego samopoczucia i zdrowia.Czy wiesz, że...* Mielone migdały to główny składnik marcepanu.* Największymi producentami migdałów są Stany Zjednoczone i Hiszpania.* Migdały należą do rodziny różowatych, tak samo jak morele, brzoskwinie i czereśnie.}
    

źródło magnezu


        Migdały blanszowane.
    
"
KRESTO Select Śliwki suszone kalifornijskie 150 g;13.99;Owoce suszone kandyzowane;30;http://localhost/img/p/sliwki-suszone-kresto-select-150-g-njgouh.png;" 
        KRESTO
    

        Śliwki są źródłem potasu, który pomaga w prawidłowym funkcjonowaniu układu nerwowego i utrzymaniu prawidłowego ciśnienia krwi. Pamiętaj, że zrównoważona dieta i aktywny styl życia są bardzo ważne dla zachowania dobrego samopoczucia i zdrowia.}
    

bez konserwantów
naturalne źródło błonnika i potasu

"
Podgrzybek brunatny suszony kapelusz 40 g;19.99;Warzywa suszone;30;http://localhost/img/p/podgrzybek-brunatny-suszony-kapelusz-40-g-tkt9r2.png;Produkt tradycyjny bez konserwantów. Idealny do zup, sosów, pierogów.
KRESTO Select Migdały 150 g;15.29;Orzechy, migdały, fistaszki;30;http://localhost/img/p/migdal-luskany-kresto-select-150-g-rabd6j.png;" 
        KRESTO
    

        Źródło witaminy E. Witamina E pomaga w ochronie komórek przed stresem oksydacyjnym. Źródło fosforu. Fosfor pomaga w utrzymaniu zdrowych kości i zębów. Pamiętaj, że zrównoważona dieta i aktywny styl życia są bardzo ważne dla zachowania dobrego samopoczucia i zdrowia.}
    

Nonpareil*
naturalne źródło witaminy E i fosforu
*Migdały odmiany Nonpareil charakteryzują się dużą jednorodnością, lekko wydłużonym kształtem oraz naturalną słodyczą

"
KRESTO Mieszanka studencka 140 g;10.79;Mix i smakowe;30;http://localhost/img/p/kresto-mieszanka-studencka-140-g-7uv1f6.png;" 
        KRESTO
    

        Świadome odżywianie.Studencki kwadrans wystarczy, by rozkręcić dobrą imprezę!Tu słodkie rodzynki szaleją z bananami, a migdały z orzechami tworzą klimat chrupkiego smaku. Mixuj wrażenia i baw się dobrze.}
    

dla studentów i nie tylko
rodzynki jumbo, orzechy laskowe, nerkowce, orzechy ziemne, chipsy bananowe, migdały
zgrana paczka


        Mieszanka orzechów i owoców suszonych.
    
"
Carrefour Targ Świeżości Wiśnie suszone 70 g;9.99;Owoce suszone kandyzowane;30;http://localhost/img/p/suszone-wisnie-bez-pestek-70-g-tm75tr.png;" 
        Carrefour
    

        Masz w ręku produkt, który w 100% został wyprodukowany z polskich wiśni. Do suszenia została użyta specjalnie wyselekcjonowana odmiana wiśni, która gwarantuje perfekcyjny smak i aromat. Promujemy polskie jedzenie.Wesprzyj Nas!Kolor i smak produktu zależy od gatunku wiśni.}
    

wysoka zawartość błonnika pokarmowego
uprawy przyjazne pszczołom
bez dodatku cukru i substancji konserwujących
Produkt polski


        Suszone wiśnie bez pestek.
    
"
KRESTO Select Morele suszone 150 g;15.59;Owoce suszone kandyzowane;30;http://localhost/img/p/morele-suszone-kresto-select-150-g-qll4lu.png;" 
        KRESTO
    

        Morele są źródłem potasu. Potas pomaga w prawidłowym funkcjonowaniu układu nerwowego, w prawidłowym funkcjonowaniu mięśni oraz utrzymaniu prawidłowego ciśnienia krwi.}
    

bez konserwantów
naturalne źródło błonnika i potasu

"
Carrefour Classic Pestki dyni bez łupiny 90 g;4.0;Pestki, ziarna i nasiona;30;http://localhost/img/p/helio-pestki-dyni-luskane-90-g-bpterq.png;" 
        Carrefour
    

zyskuj na okrągło
jakość kontrolowana

"
Carrefour Targ Świeżości Fasola Jaś karłowy 400 g;5.79;Warzywa suszone;30;http://localhost/img/p/carrefour-targ-swiezosci-fasola-jas-karlowy-400-g-ron7fs.png;" 
        Carrefour
    

z upraw o ograniczonym stosowaniu środków ochrony roślin
Produkt polski
wysoka zawartość błonnika pokarmowego i białka
jakość kontrolowana


        Fasola biała Jaś karłowy.
    
"
Nerkowiec połówki 1 kg Simpl;49.99;Orzechy, migdały, fistaszki;30;http://localhost/img/p/nerkowiec-polowki-1-kg-simpl-qo6mjq.png;"ORZECHY NERKOWCA łuskane w połówkach. Produkt może zawierać: ORZESZKI ZIEMNE, INNE ORZECHY, NASIONA SEZAMU, SOJĘ, MLEKO, DWUTLENEK SIARKI.
Oznakowanie alergenów: wielkimi literami"
Carrefour Extra Masa makowa z bakaliami 850 g;7.99;Pestki, ziarna i nasiona;30;http://localhost/img/p/carrefour-extra-masa-makowa-z-bakaliami-850-g-271vuc.png;" 
        Carrefour
    

dodatek do ciast
idealna na makowiec
jakość kontrolowana


        Masa makowa z bakaliami. Produkt sterylizowany.
    
"
Bakalland Morele całe owoce 200 g;22.89;Owoce suszone kandyzowane;30;http://localhost/img/p/bakalland-morele-cale-owoce-200-g-d6vekr.png;" 
        Bakalland
    

        Czy wiesz, że...- Morelę zaczęto uprawiać w Chinach prawie 4000 lat temu.- Morela należy do rodziny różowatych - tej samej co migdały, jabłka, gruszki, pigwy, śliwki i maliny.- Kwiaty moreli nie przepadają za niskimi temperaturami. Z tego względu największymi producentami moreli są Turcja, Uzbekistan i Iran.}
    

wysoka zawartość błonnika pokarmowego


        Morele suszone bez pestek.
    
"
Fistaszki 1kg Simpl;16.99;Orzechy, migdały, fistaszki;30;http://localhost/img/p/fistaszki-1kg-simpl-7p77e6.png;"ORZESZKI ZIEMNE w łupienie, prażone. Produkt może zawierać: ORZECHY, NASIONA SEZAMU, SOJĘ, MLEKO, DWUTLENEK SIARKI.

Oznakowanie alergenów: wielkimi literami"
Daktyle suszone w posypce piernikowej i kakao 200 g;7.99;Owoce suszone kandyzowane;30;http://localhost/img/p/daktyle-suszone-w-posypce-piernikowej-i-kakao-200-g-9npo59.png;"daktyle suszone 97,6%, mieszanka piernikowa 1,2% (przyprawy, ekstrakty przypraw), kakao 1,2%. Produkt może zawierać: ORZESZKI ZIEMNE, ORZECHY, NASIONA SEZAMU, SOJĘ, MLEKO, JAJA, DWUTLENEK SIARKI.
Oznakowanie alergenów: wielkimi literami"
Bakalland Masa makowa z bakaliami 850 g;11.99;Pestki, ziarna i nasiona;30;http://localhost/img/p/bakalland-masa-makowa-z-bakaliami-850-g-q1isc7.png;" 
        Bakalland
    

        Zapewne masz tradycyjny sprawdzony przepis na pyszny makowiec przekazywany w Twojej rodzinie od pokoleń. Teraz z naszą masą makową będzie on jeszcze łatwiejszy w przygotowaniu. Za Ciebie zmieliliśmy dwukrotnie najwyższej jakości mak, który nadaje naszej masie makowej odpowiedni smak i aksamitną konsystencję. Bogactwo bakalii z pewnością zachwyci każdego - soczyste rodzynki w połączeniu z aromatyczną skórką pomarańczową tworzą doskonałą kompozycję smakową. Masa makowa jest również źródłem wapnia. To wszystko to zapowiedź udanych wypieków. Z naszą masą makową możesz również przyrządzić inne potrawy - makaron z makiem i bakaliami, ciasteczka makowe, czy też paluchy wypiekane z masą makową z ciasta francuskiego.}
    

        Masa makowa z bakaliami.
    
"
Carrefour Targ Świeżości Fasola czerwona 450 g;6.99;Warzywa suszone;30;http://localhost/img/p/carrefour-targ-swiezosci-fasola-czerwona-450-g-1p8idt.png;" 
        Carrefour
    

z upraw o ograniczonym stosowaniu środków ochrony roślin
Produkt polski
wysoka zawartość błonnika pokarmowego i białka
jakość kontrolowana


        Fasola czerwona.
    
"
Carrefour Classic Słonecznik łuskany 90 g;2.0;Pestki, ziarna i nasiona;30;http://localhost/img/p/carrefour-classic-slonecznik-luskany-90-g-hlf9kg.png;" 
        Carrefour
    

zyskuj na okrągło
jakość kontrolowana

"
Bakalland Mak niebieski 250 g;11.99;Pestki, ziarna i nasiona;30;http://localhost/img/p/bakalland-mak-niebieski-250-g-qkpd2h.png;" 
        Bakalland
    

naturalne bogactwo magnezu, wapnia i witaminy B6
Dobra i polska firma


        Mak niebieski
    
"
KRESTO Siemię lniane 500 g;13.99;Owoce suszone kandyzowane;30;http://localhost/img/p/kresto-siemie-lniane-500-g-k043jk.png;" 
        KRESTO
    

        Siemię lniane.
    
"
KRESTO Sezam 500 g;15.99;Owoce suszone kandyzowane;30;http://localhost/img/p/kresto-sezam-500-g-vf7k6o.png;" 
        KRESTO
    
"
Krakus Szynka eksportowa 120 g (6 plastrów);6.49;Szynki plastry;30;http://localhost/img/p/krakus-szynka-eksportowa-120-g-6-plastrow-l327ds.png;" 
        Krakus
    

nie więcej niż 3% tłuszczu
Superbrands - Polska Marka 2018
duże plastry 6,3 cala


        Szynka Eksportowa. Szynka wieprzowa parzona z połączonych kawałków mięsa z dodaną wodą.
    
"
Tarczyński Kabanosy Exclusive wieprzowe 105 g;6.49;Kabanosy;30;http://localhost/img/p/tarczynski-kabanos-exclusive-wieprzowy-105-g-eia3n1.png;" 
        Tarczyński
    

        Zdaniem wielu najlepsza mięsna przekąska na świecieTak wysuszone, że nie wymagają przechowywania w lodówce! Możesz mieć te pyszne kabanosy zawsze przy sobie.podróż, praca, wycieczka, szkoła, film, imprezaCzy wiesz, że... najwyższej jakości mięso jest źródłem:dobrze przyswajalnego białka, żelaza, witaminy B12}
    

pyszna przekąska
185 g mięsa na 100 g produktu
bez dodatku glutaminianów, barwników, fosforanów


        Wyrób wieprzowy, drobno rozdrobniony, wędzony, parzony, suszony.
    
"
Tarczyński Kabanosy Exclusive drobiowe z dodatkiem wieprzowiny 105 g;6.49;Kabanosy;30;http://localhost/img/p/tarczynski-kabanos-exclusive-drobiowy-z-dodatkiem-wieprzowiny-105-g-7sd7mm.png;" 
        Tarczyński
    

        Bez dodatku glutaminianów, barwników, fosforanów. Źródło białka.}
    

        Wyrób drobiowo-wieprzowy, drobno rozdrobniony, wędzony, parzony, suszony.
    
"
Morliny Kiełbasa morlińska z piersią kurczaka 400 g;11.19;Kiełbasy drobiowe;30;http://localhost/img/p/morliny-kielbasa-morlinska-z-piersi-kurczaka-400-g-bruhf7.png;" 
        Morliny
    

produkowane w Polsce
93% mięsa
delikatna i ze smakiem


        Kiełbasa drobiowa, średnio rozdrobniona, wędzona, parzona.
    
"
Olewnik Sucha krakowska z szynki 90 g;6.79;Kiełbasy;30;http://localhost/img/p/olewnik-sucha-krakowska-z-szynki-90-g-mlckhr.png;" 
        Olewnik
    

ze 143 g mięsa 100 g produktu
30 sztuk cienkich plastrów
źródło białka
suszona minimum 100 godzin


        Kiełbasa wieprzowa, grubo rozdrobniona, wędzona, parzona, suszona, w plastrach.
    
"
